goos: linux
goarch: amd64
pkg: golang.org/x/crypto/chacha20poly1305
cpu: Intel(R) Core(TM) i9-14900K
BenchmarkChacha20Poly1305/Open-1350-16       	  351534	      1012 ns/op	1334.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  359224	      1001 ns/op	1348.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-16       	  361090	      1011 ns/op	1335.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  331182	      1072 ns/op	1259.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  339062	      1049 ns/op	1287.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  337900	      1059 ns/op	1274.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  338562	      1044 ns/op	1293.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  336907	      1058 ns/op	1276.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  336619	      1077 ns/op	1253.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  337548	      1050 ns/op	1285.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  338838	      1044 ns/op	1292.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  338794	      1061 ns/op	1272.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-16       	  335755	      1045 ns/op	1291.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  320101	      1128 ns/op	1196.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  320601	      1123 ns/op	1201.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  319746	      1106 ns/op	1220.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  312850	      1117 ns/op	1209.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  313988	      1100 ns/op	1227.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  312649	      1113 ns/op	1213.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  319539	      1125 ns/op	1199.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  313928	      1109 ns/op	1217.23 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  310093	      1174 ns/op	1150.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-1350-X-16     	  319909	      1108 ns/op	1218.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  321994	      1110 ns/op	1216.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  322251	      1109 ns/op	1216.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  315009	      1109 ns/op	1216.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  315610	      1093 ns/op	1234.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  322182	      1102 ns/op	1224.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  323210	      1130 ns/op	1194.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  316568	      1148 ns/op	1175.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  312291	      1108 ns/op	1217.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  322030	      1118 ns/op	1207.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-1350-X-16     	  315343	      1112 ns/op	1213.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   98806	      3626 ns/op	2259.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99176	      3614 ns/op	2266.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99033	      3542 ns/op	2312.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99381	      3637 ns/op	2252.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99231	      3539 ns/op	2314.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99183	      3626 ns/op	2259.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99374	      3587 ns/op	2284.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   97632	      3597 ns/op	2277.76 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99177	      3577 ns/op	2289.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-16       	   99334	      3544 ns/op	2311.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   93745	      3759 ns/op	2179.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   95481	      3793 ns/op	2159.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   95210	      3794 ns/op	2159.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   93848	      3687 ns/op	2221.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   95515	      3730 ns/op	2195.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   93777	      3678 ns/op	2227.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   95408	      3788 ns/op	2162.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   93945	      3775 ns/op	2170.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   95137	      3773 ns/op	2171.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-16       	   95551	      3701 ns/op	2213.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   95616	      3731 ns/op	2195.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   96828	      3672 ns/op	2230.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   96019	      3663 ns/op	2236.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   96180	      3728 ns/op	2197.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   95647	      3745 ns/op	2187.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   95911	      3749 ns/op	2185.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   95586	      3713 ns/op	2206.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   95498	      3705 ns/op	2211.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   96325	      3633 ns/op	2255.10 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Open-8192-X-16     	   95997	      3728 ns/op	2197.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   94350	      3758 ns/op	2179.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   93008	      3737 ns/op	2191.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   93034	      3862 ns/op	2121.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   93872	      3778 ns/op	2168.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   93114	      3841 ns/op	2132.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   94128	      3734 ns/op	2193.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   93795	      3720 ns/op	2202.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   94191	      3809 ns/op	2150.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   94258	      3754 ns/op	2182.00 MB/s	       0 B/op	       0 allocs/op
BenchmarkChacha20Poly1305/Seal-8192-X-16     	   92736	      3736 ns/op	2192.82 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	golang.org/x/crypto/chacha20poly1305	54.461s
